actual_data,error,left_motor_powers,right_motor_powers
1283,-29,49,50
1251,3,50,49
1208,46,50,49
1158,96,50,49
1185,69,50,49
1154,100,51,49
1163,91,50,49
1204,50,50,49
1207,47,50,49
1207,47,50,49
1254,0,50,50
1289,-35,49,50
1306,-52,49,50
1307,-53,49,50
1305,-51,49,50
1280,-26,49,50
1254,0,50,50
1272,-18,49,50
1324,-70,49,50
1362,-108,48,51
1373,-119,48,51
1324,-70,49,50
1281,-27,49,50
1292,-38,49,50
1327,-73,49,50
1369,-115,48,51
1395,-141,48,51
1440,-186,48,51
1381,-127,48,51
1254,0,50,50
1147,107,51,48
1275,-21,49,50
1416,-162,48,51
1419,-165,48,51
1445,-191,48,51
1439,-185,48,51
1419,-165,48,51
1418,-164,48,51
1396,-142,48,51
1422,-168,48,51
1458,-204,47,52
1463,-209,47,52
1506,-252,47,52
1530,-276,47,52
1530,-276,47,52
1509,-255,47,52
1555,-301,46,53
1531,-277,47,52
1569,-315,46,53
1555,-301,46,53
1492,-238,47,52
1488,-234,47,52
1525,-271,47,52
1486,-232,47,52
1357,-103,48,51
1370,-116,48,51
1386,-132,48,51
1355,-101,48,51
1370,-116,48,51
1373,-119,48,51
1391,-137,48,51
1400,-146,48,51
1395,-141,48,51
1423,-169,48,51
1440,-186,48,51
1463,-209,47,52
1484,-230,47,52
1508,-254,47,52
1441,-187,48,51
1402,-148,48,51
1349,-95,49,50
1324,-70,49,50
1307,-53,49,50
1303,-49,49,50
1324,-70,49,50
1309,-55,49,50
1351,-97,49,50
1395,-141,48,51
1393,-139,48,51
1412,-158,48,51
1416,-162,48,51
1411,-157,48,51
1419,-165,48,51
1505,-251,47,52
1534,-280,47,52
1487,-233,47,52
1489,-235,47,52
1464,-210,47,52
1394,-140,48,51
1407,-153,48,51
1350,-96,49,50
1330,-76,49,50
1325,-71,49,50
1330,-76,49,50
1347,-93,49,50
1372,-118,48,51
1399,-145,48,51
1409,-155,48,51
1416,-162,48,51
1443,-189,48,51
1487,-233,47,52
1493,-239,47,52
1486,-232,47,52
1445,-191,48,51
1418,-164,48,51
1407,-153,48,51
1375,-121,48,51
1378,-124,48,51
1353,-99,49,50
1341,-87,49,50
1374,-120,48,51
1383,-129,48,51
1393,-139,48,51
1416,-162,48,51
1400,-146,48,51
1434,-180,48,51
1442,-188,48,51
1461,-207,47,52
1485,-231,47,52
1490,-236,47,52
1490,-236,47,52
1434,-180,48,51
1394,-140,48,51
1371,-117,48,51
1332,-78,49,50
1254,0,50,50
1213,41,50,49
1228,26,50,49
1188,66,50,49
1183,71,50,49
1222,32,50,49
1229,25,50,49
1252,2,50,49
1303,-49,49,50
1325,-71,49,50
1327,-73,49,50
1356,-102,48,51
1396,-142,48,51
1358,-104,48,51
1356,-102,48,51
1332,-78,49,50
1325,-71,49,50
1298,-44,49,50
1281,-27,49,50
1228,26,50,49
1228,26,50,49
1268,-14,49,50
1283,-29,49,50
1305,-51,49,50
1390,-136,48,51
