actual_data,error,Absolute Error,left_motor_powers,right_motor_powers,,Source,Min,Max,Average,Standard Deviation
650,-48,48,47,52,,Sensor Response,77,1051,645.32,279.8029585
581,21,21,51,48,,Left Motor Data,27,76,47.38,13.96480235
682,-80,80,46,54,,Right Motor Data,23,72,51.66666667,13.98497116
839,-237,237,38,61,,Total Error,,38588,,
594,8,8,50,49,,,,,,
414,188,188,59,40,,,,,,
693,-91,91,45,54,,,,,,
890,-288,288,35,64,,,,,,
746,-144,144,42,57,,,,,,
184,418,418,70,29,,,,,,
166,436,436,71,28,,,,,,
828,-226,226,38,61,,,,,,
840,-238,238,38,61,,,,,,
822,-220,220,39,61,,,,,,
679,-77,77,46,53,,,,,,
316,286,286,64,35,,,,,,
555,47,47,52,47,,,,,,
934,-332,332,33,66,,,,,,
938,-336,336,33,66,,,,,,
410,192,192,59,40,,,,,,
218,384,384,69,30,,,,,,
900,-298,298,35,64,,,,,,
916,-314,314,34,65,,,,,,
853,-251,251,37,62,,,,,,
391,211,211,60,39,,,,,,
286,316,316,65,34,,,,,,
812,-210,210,39,60,,,,,,
844,-242,242,37,62,,,,,,
633,-31,31,48,51,,,,,,
315,287,287,64,35,,,,,,
532,70,70,53,46,,,,,,
922,-320,320,34,66,,,,,,
937,-335,335,33,66,,,,,,
281,321,321,66,33,,,,,,
141,461,461,73,26,,,,,,
889,-287,287,35,64,,,,,,
814,-212,212,39,60,,,,,,
874,-272,272,36,63,,,,,,
889,-287,287,35,64,,,,,,
728,-126,126,43,56,,,,,,
341,261,261,63,36,,,,,,
668,-66,66,46,53,,,,,,
840,-238,238,38,61,,,,,,
737,-135,135,43,56,,,,,,
344,258,258,62,37,,,,,,
501,101,101,55,44,,,,,,
813,-211,211,39,60,,,,,,
781,-179,179,41,58,,,,,,
347,255,255,62,37,,,,,,
292,310,310,65,34,,,,,,
880,-278,278,36,63,,,,,,
922,-320,320,34,66,,,,,,
732,-130,130,43,56,,,,,,
345,257,257,62,37,,,,,,
516,86,86,54,45,,,,,,
913,-311,311,34,65,,,,,,
887,-285,285,35,64,,,,,,
742,-140,140,43,57,,,,,,
345,257,257,62,37,,,,,,
306,296,296,64,35,,,,,,
851,-249,249,37,62,,,,,,
930,-328,328,33,66,,,,,,
463,139,139,56,43,,,,,,
89,513,513,75,24,,,,,,
759,-157,157,42,57,,,,,,
933,-331,331,33,66,,,,,,
769,-167,167,41,58,,,,,,
197,405,405,70,29,,,,,,
449,153,153,57,42,,,,,,
980,-378,378,31,68,,,,,,
1030,-428,428,28,71,,,,,,
679,-77,77,46,53,,,,,,
100,502,502,75,24,,,,,,
377,225,225,61,38,,,,,,
1025,-423,423,28,71,,,,,,
957,-355,355,32,67,,,,,,
947,-345,345,32,67,,,,,,
441,161,161,58,41,,,,,,
148,454,454,72,27,,,,,,
831,-229,229,38,61,,,,,,
955,-353,353,32,67,,,,,,
848,-246,246,37,62,,,,,,
77,525,525,76,23,,,,,,
188,414,414,70,29,,,,,,
979,-377,377,31,68,,,,,,
1005,-403,403,29,70,,,,,,
960,-358,358,32,67,,,,,,
369,233,233,61,38,,,,,,
192,410,410,70,29,,,,,,
937,-335,335,33,66,,,,,,
1002,-400,400,30,70,,,,,,
869,-267,267,36,63,,,,,,
325,277,277,63,36,,,,,,
273,329,329,66,33,,,,,,
899,-297,297,35,64,,,,,,
934,-332,332,33,66,,,,,,
730,-128,128,43,56,,,,,,
286,316,316,65,34,,,,,,
262,340,340,67,33,,,,,,
869,-267,267,36,63,,,,,,
909,-307,307,34,65,,,,,,
663,-61,61,46,53,,,,,,
408,194,194,59,40,,,,,,
488,114,114,55,44,,,,,,
892,-290,290,35,64,,,,,,
910,-308,308,34,65,,,,,,
473,129,129,56,43,,,,,,
366,236,236,61,38,,,,,,
863,-261,261,36,63,,,,,,
984,-382,382,30,69,,,,,,
744,-142,142,42,57,,,,,,
250,352,352,67,32,,,,,,
378,224,224,61,38,,,,,,
886,-284,284,35,64,,,,,,
959,-357,357,32,67,,,,,,
635,-33,33,48,51,,,,,,
289,313,313,65,34,,,,,,
469,133,133,56,43,,,,,,
794,-192,192,40,59,,,,,,
851,-249,249,37,62,,,,,,
540,62,62,53,46,,,,,,
341,261,261,63,36,,,,,,
816,-214,214,39,60,,,,,,
932,-330,330,33,66,,,,,,
536,66,66,53,46,,,,,,
360,242,242,62,37,,,,,,
850,-248,248,37,62,,,,,,
980,-378,378,31,68,,,,,,
656,-54,54,47,52,,,,,,
250,352,352,67,32,,,,,,
506,96,96,54,45,,,,,,
957,-355,355,32,67,,,,,,
881,-279,279,36,63,,,,,,
344,258,258,62,37,,,,,,
230,372,372,68,31,,,,,,
839,-237,237,38,61,,,,,,
909,-307,307,34,65,,,,,,
710,-108,108,44,55,,,,,,
459,143,143,57,42,,,,,,
777,-175,175,41,58,,,,,,
851,-249,249,37,62,,,,,,
460,142,142,57,42,,,,,,
279,323,323,66,33,,,,,,
766,-164,164,41,58,,,,,,
1032,-430,430,28,71,,,,,,
832,-230,230,38,61,,,,,,
90,512,512,75,24,,,,,,
204,398,398,69,30,,,,,,
1047,-445,445,27,72,,,,,,
1051,-449,449,27,72,,,,,,
