actual_data,error,Absolute Error,left_motor_powers,right_motor_powers,,Source,Min,Max,Average,Standard Deviation
1237,67,67,53,46,,Sensor Response,1184,1443,1443,59.43443364
1191,113,113,55,44,,Left Motor Data,43,56,48.16666667,2.941069218
1184,120,120,56,44,,Right Motor Data,44,56,50.87333333,2.913280553
1242,62,62,53,46,,Total Error,,7748,,
1343,-39,39,48,51,,,,,,
1373,-69,69,46,53,,,,,,
1403,-99,99,45,54,,,,,,
1369,-65,65,46,53,,,,,,
1334,-30,30,48,51,,,,,,
1300,4,4,50,49,,,,,,
1328,-24,24,48,51,,,,,,
1349,-45,45,47,52,,,,,,
1305,-1,1,49,50,,,,,,
1306,-2,2,49,50,,,,,,
1325,-21,21,48,51,,,,,,
1309,-5,5,49,50,,,,,,
1324,-20,20,49,51,,,,,,
1395,-91,91,45,54,,,,,,
1442,-138,138,43,56,,,,,,
1418,-114,114,44,55,,,,,,
1376,-72,72,46,53,,,,,,
1376,-72,72,46,53,,,,,,
1285,19,19,50,49,,,,,,
1283,21,21,51,48,,,,,,
1313,-9,9,49,50,,,,,,
1302,2,2,50,49,,,,,,
1263,41,41,52,47,,,,,,
1252,52,52,52,47,,,,,,
1302,2,2,50,49,,,,,,
1349,-45,45,47,52,,,,,,
1240,64,64,53,46,,,,,,
1207,97,97,54,45,,,,,,
1330,-26,26,48,51,,,,,,
1396,-92,92,45,54,,,,,,
1431,-127,127,43,56,,,,,,
1397,-93,93,45,54,,,,,,
1396,-92,92,45,54,,,,,,
1400,-96,96,45,54,,,,,,
1296,8,8,50,49,,,,,,
1329,-25,25,48,51,,,,,,
1336,-32,32,48,51,,,,,,
1391,-87,87,45,54,,,,,,
1358,-54,54,47,52,,,,,,
1303,1,1,50,49,,,,,,
1311,-7,7,49,50,,,,,,
1374,-70,70,46,53,,,,,,
1349,-45,45,47,52,,,,,,
1256,48,48,52,47,,,,,,
1285,19,19,50,49,,,,,,
1368,-64,64,46,53,,,,,,
1402,-98,98,45,54,,,,,,
1439,-135,135,43,56,,,,,,
1419,-115,115,44,55,,,,,,
1420,-116,116,44,55,,,,,,
1329,-25,25,48,51,,,,,,
1324,-20,20,49,51,,,,,,
1278,26,26,51,48,,,,,,
1345,-41,41,47,52,,,,,,
1395,-91,91,45,54,,,,,,
1310,-6,6,49,50,,,,,,
1256,48,48,52,47,,,,,,
1206,98,98,54,45,,,,,,
1259,45,45,52,47,,,,,,
1327,-23,23,48,51,,,,,,
1329,-25,25,48,51,,,,,,
1322,-18,18,49,50,,,,,,
1391,-87,87,45,54,,,,,,
1409,-105,105,44,55,,,,,,
1403,-99,99,45,54,,,,,,
1358,-54,54,47,52,,,,,,
1349,-45,45,47,52,,,,,,
1326,-22,22,48,51,,,,,,
1330,-26,26,48,51,,,,,,
1307,-3,3,49,50,,,,,,
1349,-45,45,47,52,,,,,,
1332,-28,28,48,51,,,,,,
1326,-22,22,48,51,,,,,,
1331,-27,27,48,51,,,,,,
1331,-27,27,48,51,,,,,,
1261,43,43,52,47,,,,,,
1306,-2,2,49,50,,,,,,
1311,-7,7,49,50,,,,,,
1281,23,23,51,48,,,,,,
1239,65,65,53,46,,,,,,
1304,0,0,50,50,,,,,,
1403,-99,99,45,54,,,,,,
1443,-139,139,43,56,,,,,,
1416,-112,112,44,55,,,,,,
1395,-91,91,45,54,,,,,,
1349,-45,45,47,52,,,,,,
1353,-49,49,47,52,,,,,,
1351,-47,47,47,52,,,,,,
1330,-26,26,48,51,,,,,,
1321,-17,17,49,50,,,,,,
1304,0,0,50,50,,,,,,
1306,-2,2,49,50,,,,,,
1303,1,1,50,49,,,,,,
1303,1,1,50,49,,,,,,
1282,22,22,51,48,,,,,,
1251,53,53,52,47,,,,,,
1301,3,3,50,49,,,,,,
1333,-29,29,48,51,,,,,,
1308,-4,4,49,50,,,,,,
1306,-2,2,49,50,,,,,,
1347,-43,43,47,52,,,,,,
1395,-91,91,45,54,,,,,,
1417,-113,113,44,55,,,,,,
1442,-138,138,43,56,,,,,,
1419,-115,115,44,55,,,,,,
1395,-91,91,45,54,,,,,,
1417,-113,113,44,55,,,,,,
1396,-92,92,45,54,,,,,,
1417,-113,113,44,55,,,,,,
1347,-43,43,47,52,,,,,,
1317,-13,13,49,50,,,,,,
1307,-3,3,49,50,,,,,,
1310,-6,6,49,50,,,,,,
1303,1,1,50,49,,,,,,
1282,22,22,51,48,,,,,,
1232,72,72,53,46,,,,,,
1287,17,17,50,49,,,,,,
1305,-1,1,49,50,,,,,,
1294,10,10,50,49,,,,,,
1308,-4,4,49,50,,,,,,
1331,-27,27,48,51,,,,,,
1355,-51,51,47,52,,,,,,
1361,-57,57,47,52,,,,,,
1348,-44,44,47,52,,,,,,
1337,-33,33,48,51,,,,,,
1355,-51,51,47,52,,,,,,
1382,-78,78,46,53,,,,,,
1372,-68,68,46,53,,,,,,
1371,-67,67,46,53,,,,,,
1339,-35,35,48,51,,,,,,
1299,5,5,50,49,,,,,,
1209,95,95,54,45,,,,,,
1195,109,109,55,44,,,,,,
1225,79,79,53,46,,,,,,
1189,115,115,55,44,,,,,,
1208,96,96,54,45,,,,,,
1250,54,54,52,47,,,,,,
1303,1,1,50,49,,,,,,
1304,0,0,50,50,,,,,,
1330,-26,26,48,51,,,,,,
1371,-67,67,46,53,,,,,,
1419,-115,115,44,55,,,,,,
1396,-92,92,45,54,,,,,,
1396,-92,92,45,54,,,,,,
1396,-92,92,45,54,,,,,,
1389,-85,85,45,54,,,,,,
